CD_MUNICIPIO,Soma - QT_VOTOS
19,6838
35,92636
51,16711
78,10513
94,12437
116,4927
132,10994
159,6813
175,5872
191,3009
213,2425
230,2606
256,4212
272,1990
299,7669
310,3959
337,2933
353,1652
370,2854
396,4750
418,3998
434,2897
450,1106
477,4887
493,1642
515,1849
531,862
558,1527
566,2222
574,2353
582,2468
590,1784
604,1569
612,1540
620,692
639,1995
647,590
655,1524
663,1763
671,1499
680,1729
698,1312
701,904
710,1075
728,559
736,1989
744,1754
752,1100
779,3260
787,495
795,2574
809,1586
1007,1958
1015,1497
1023,2317
1031,1217
1040,2742
1058,3958
1066,2093
1074,9733
1082,1455
1090,2708
1104,1980
1112,2464
1120,1460
1139,7113
1392,53873
1457,4976
1473,6802
1490,3634
1511,2306
1538,3338
1554,2047
1570,1895
2003,2809
2011,4166
2020,2891
2038,4010
2046,6982
2054,4660
2070,12283
2097,4616
2119,14079
2135,13370
2151,7050
2178,12371
2194,3539
2216,10998
2232,9949
2259,19841
2275,6403
2291,10435
2313,5064
2330,8421
2356,12406
2372,3703
2399,4833
2410,31621
2437,3538
2453,1774
2470,2870
2496,6872
2518,11683
2534,28386
2550,437691
2577,15172
2593,3785
2615,21003
2631,8939
2658,10114
2674,6747
2690,41689
2712,4838
2739,8849
2755,11922
2771,4771
2798,4648
2810,20281
2836,17090
2852,6317
2879,7073
2895,5978
2917,3880
2933,3733
2950,5381
2976,7837
2992,3988
3000,1019
3018,37412
3026,1258
3034,2729
3042,1066
3050,2123
3069,2660
3077,2382
3085,3946
3093,1991
3107,3530
3115,2526
3123,2165
3131,1223
3158,1098
4006,8674
4014,72313
4022,20804
4030,24668
4049,4579
4057,12643
4065,8820
4073,16020
4081,6801
4090,11451
4103,10215
4111,23852
4120,7185
4138,7201
4146,9505
4154,137406
4162,2580
4170,19278
4189,11127
4197,4475
4200,4503
4219,8171
4227,4109
4235,14758
4243,7489
4251,48262
4260,3122
4278,431858
4286,2599
4294,19869
4308,2369
4316,6727
4324,7222
4332,41378
4340,9566
4359,30930
4367,6124
4375,12012
4383,2838
4391,10657
4405,5300
4413,60945
4421,14079
4430,24743
4448,12388
4456,20767
4464,6761
4472,53437
4480,6660
4499,6117
4502,2357
4510,6219
4529,1936
4537,10640
4545,5342
4553,13465
4561,4802
4570,17798
4588,790
4596,3772
4600,4173
4618,11516
4626,3632
4634,17589
4642,36067
4650,25085
4669,14401
4677,4584
4685,5260
4693,14866
4707,13415
4715,21526
4723,6037
4731,13904
4740,6397
4758,13198
4766,7329
4774,16528
4782,3208
4790,12610
4804,6068
4812,4193
4820,3122
4839,63908
4847,1769
4855,13178
4863,6351
4871,11646
4898,7562
4910,15451
4936,30445
4952,18240
4979,15680
4995,6429
5010,19876
5037,14518
5053,19101
5070,9050
5096,22155
5118,4680
5134,12129
5150,16351
5177,9949
5193,11140
5215,5905
5231,17053
5258,10453
5274,3063
5290,20526
5312,9470
5339,5979
5355,82030
5371,3631
5398,12237
5410,8383
5436,13597
5452,9812
5479,7669
5495,4962
5517,21471
5533,12481
5550,4734
5576,11923
5592,23010
5614,29792
5630,20015
5657,25514
5673,14569
5690,4303
5711,9690
5738,9430
5754,5926
5770,4908
5797,6252
5819,11559
5835,56389
5851,5819
5878,11899
5894,5480
5916,8039
5932,2811
5959,6435
5975,11698
5991,3373
6009,1269
6017,2785
6025,5120
6033,3200
