CD_MUNICIPIO,Soma - QT_VOTOS
19,155
35,3021
51,671
78,485
94,538
116,238
132,516
159,336
175,209
191,131
213,39
230,137
256,193
272,106
299,364
310,126
337,80
353,56
370,107
396,131
418,129
434,89
450,36
477,103
493,31
515,57
531,26
558,34
566,98
574,64
582,79
590,50
604,34
612,59
620,33
639,80
647,21
655,47
663,58
671,48
680,63
698,51
701,25
710,60
728,29
736,73
744,38
752,34
779,114
787,14
795,77
809,35
1007,88
1015,34
1023,66
1031,17
1040,47
1058,99
1066,65
1074,473
1082,51
1090,82
1104,24
1112,78
1120,51
1139,134
1392,2727
1457,151
1473,175
1490,56
1511,83
1538,161
1554,30
1570,30
2003,46
2011,46
2020,62
2038,52
2046,84
2054,22
2070,129
2097,31
2119,47
2135,91
2151,145
2178,89
2194,49
2216,125
2232,139
2259,229
2275,51
2291,173
2313,107
2330,54
2356,178
2372,29
2399,91
2410,418
2437,30
2453,27
2470,67
2496,89
2518,115
2534,431
2550,15701
2577,116
2593,36
2615,123
2631,57
2658,92
2674,50
2690,382
2712,34
2739,50
2755,64
2771,32
2798,51
2810,196
2836,83
2852,51
2879,41
2895,31
2917,27
2933,50
2950,61
2976,44
2992,40
3000,30
3018,1695
3026,38
3034,48
3042,11
3050,28
3069,51
3077,27
3085,105
3093,60
3107,6
3115,15
3123,21
3131,22
3158,16
4006,132
4014,864
4022,296
4030,283
4049,64
4057,99
4065,92
4073,215
4081,127
4090,92
4103,193
4111,573
4120,132
4138,82
4146,93
4154,3624
4162,21
4170,218
4189,142
4197,37
4200,44
4219,39
4227,82
4235,158
4243,139
4251,823
4260,56
4278,11215
4286,56
4294,375
4308,21
4316,81
4324,95
4332,613
4340,103
4359,282
4367,83
4375,104
4383,97
4391,76
4405,83
4413,627
4421,185
4430,485
4448,161
4456,284
4464,83
4472,1274
4480,70
4499,41
4502,30
4510,83
4529,16
4537,213
4545,68
4553,71
4561,58
4570,183
4588,11
4596,13
4600,70
4618,53
4626,101
4634,222
4642,793
4650,401
4669,107
4677,55
4685,59
4693,170
4707,299
4715,552
4723,117
4731,132
4740,50
4758,193
4766,60
4774,148
4782,35
4790,147
4804,99
4812,48
4820,43
4839,1274
4847,20
4855,164
4863,132
4871,114
4898,47
4910,154
4936,341
4952,283
4979,154
4995,68
5010,236
5037,101
5053,268
5070,112
5096,421
5118,45
5134,119
5150,142
5177,60
5193,109
5215,54
5231,247
5258,141
5274,19
5290,374
5312,178
5339,93
5355,1989
5371,22
5398,177
5410,91
5436,166
5452,177
5479,105
5495,57
5517,319
5533,78
5550,44
5576,127
5592,344
5614,496
