CD_MUNICIPIO,Soma - QT_VOTOS
19,385
35,6894
51,1406
78,940
94,1032
116,518
132,1639
159,696
175,428
191,260
213,135
230,242
256,420
272,181
299,726
310,336
337,223
353,155
370,230
396,273
418,280
434,191
450,74
477,263
493,100
515,122
531,43
558,84
566,142
574,126
582,158
590,103
604,111
612,103
620,65
639,129
647,39
655,109
663,137
671,116
680,123
698,98
701,59
710,110
728,58
736,208
744,103
752,46
779,277
787,15
795,141
809,97
1007,107
1015,56
1023,113
1031,64
1040,122
1058,145
1066,77
1074,646
1082,69
1090,107
1104,65
1112,105
1120,92
1139,334
1392,3488
1457,237
1473,295
1490,157
1511,116
1538,169
1554,91
1570,67
2003,241
2011,299
2020,322
2038,298
2046,512
2054,256
2070,909
2097,381
2119,576
2135,790
2151,790
2178,630
2194,291
2216,652
2232,796
2259,1359
2275,395
2291,887
2313,437
2330,484
2356,724
2372,249
2399,542
2410,1705
2437,208
2453,143
2470,283
2496,563
2518,817
2534,2173
2550,44981
2577,659
2593,228
2615,854
2631,288
2658,562
2674,347
2690,1428
2712,301
2739,588
2755,615
2771,187
2798,433
2810,1246
2836,624
2852,299
2879,286
2895,322
2917,292
2933,185
2950,398
2976,291
2992,220
3000,65
3018,2415
3026,71
3034,112
3042,35
3050,78
3069,89
3077,68
3085,154
3093,100
3107,80
3115,35
3123,41
3131,52
3158,55
4006,234
4014,1313
4022,594
4030,552
4049,160
4057,353
4065,186
4073,365
4081,200
4090,257
4103,294
4111,1005
4120,210
4138,291
4146,241
4154,5701
4162,63
4170,466
4189,283
4197,81
4200,163
4219,141
4227,169
4235,242
4243,256
4251,1080
4260,74
4278,18235
4286,113
4294,562
4308,65
4316,153
4324,158
4332,1062
4340,277
4359,834
4367,83
4375,194
4383,177
4391,153
4405,151
4413,812
4421,481
4430,733
4448,343
4456,427
4464,254
4472,1927
4480,187
4499,189
4502,84
4510,118
4529,49
4537,470
4545,96
4553,246
4561,156
4570,479
4588,26
4596,46
4600,180
4618,181
4626,141
4634,482
4642,1056
4650,547
4669,238
4677,103
4685,93
4693,366
4707,435
4715,714
4723,217
4731,368
4740,91
4758,471
4766,169
4774,246
4782,90
4790,182
4804,182
4812,64
4820,59
4839,2402
4847,48
4855,253
4863,234
4871,280
4898,203
4910,236
4936,564
4952,495
4979,294
4995,175
5010,410
5037,258
5053,420
5070,206
5096,777
5118,102
5134,230
5150,474
5177,182
5193,230
5215,122
5231,316
5258,216
5274,65
5290,567
5312,316
5339,203
5355,2989
5371,48
5398,271
5410,174
5436,296
5452,350
5479,198
5495,143
5517,460
5533,188
5550,119
5576,193
5592,471
5614,800
5630,479
5657,481
5673,559
5690,152
5711,357
5738,390
5754,327
5770,262
5797,208
5819,218
5835,2014
5851,150
5878,371
5894,224
5916,323
5932,77
5959,188
5975,299
5991,113
6009,26
6017,62
6025,154
6033,51
6041,34
6050,4061
6068,27
6076,173
6084,77
6092,137
6106,34
6114,66
6122,84
6130,272
6157,865
6173,77
7005,165
7013,47
7021,302
7030,202
7048,300
7056,353
7064,108
7072,88
7080,95
7099,144
7102,79
7110,344
7129,202
7137,288
7145,56
7153,252
7161,85
7170,594
7188,112
7196,317
7200,61
7218,108
7226,82
7234,858
7242,91
7250,150
7269,202
7277,766
7285,111
7293,243
7307,112
7315,797
7323,62
7331,539
7340,430
7358,64
7366,140
7374,228
7382,97
7390,321
7404,149
7412,374
7420,124
7439,282
7447,67
7455,99
7463,151
7471,153
7480,107
7498,152
7501,151
7510,212
7528,102
7536,316
7544,73
7552,266
7560,234
7579,1601
7595,118
7609,155
7617,801
7625,103
7633,1216
7641,104
7650,474
7668,191
7676,484
7684,117
7692,747
7706,89
7714,279
7722,153
7730,239
7749,76
7757,119
7765,239
7773,194
7781,41
7790,171
7803,76
7811,205
7820,163
7838,70
7846,92
7854,202
7862,44
7870,135
7889,202
7897,147
7900,63
7919,50
7927,87
7935,474
7943,120
7951,221
7960,79
7978,307
7986,65
7994,203
8001,162
8010,95
8028,205
8036,2093
8044,193
8052,251
8060,211
8079,665
8087,202
8095,247
8109,55
8117,126
8125,57
8133,362
8141,151
8150,67
8168,226
8176,113
8184,50
8192,176
8206,75
8214,139
8222,86
8230,55
8249,141
8257,215
8265,108
8273,204
8281,70
8290,220
8303,109
8311,381
8320,81
8338,224
8346,166
8354,188
8362,77
8370,269
8389,67
8397,89
8400,38
8419,199
8427,63
8435,137
8443,50
8451,47
8460,86
