fid,CD_MUN,NM_MUN,SIGLA,tot_13_22,porcent_13,porcent_22,normal_13_22,tot_13,tot_22,subt_13_22
1,"1100015",Alta Floresta D'Oeste,RO,13010,30.5611068408916,69.4388931591084,-0.388777863182168,3976,9034,-5058
2,"1100023",Ariquemes,RO,47480,22.1967144060657,77.8032855939343,-0.556065711878686,10539,36941,-26402
3,"1100031",Cabixi,RO,3342,33.9916217833633,66.0083782166367,-0.320167564332735,1136,2206,-1070
4,"1100049",Cacoal,RO,46667,25.6841022564125,74.3158977435875,-0.486317954871751,11986,34681,-22695
5,"1100056",Cerejeiras,RO,9276,21.0543337645537,78.9456662354463,-0.578913324708926,1953,7323,-5370
6,"1100064",Colorado do Oeste,RO,9154,27.6818876993664,72.3181123006336,-0.446362246012672,2534,6620,-4086
7,"1100072",Corumbiara,RO,4013,37.876900074757,62.123099925243,-0.242461998504859,1520,2493,-973
8,"1100080",Costa Marques,RO,6434,39.6487410631023,60.3512589368977,-0.207025178737955,2551,3883,-1332
9,"1100098",Espigão do Oeste,RO,16808,25.4462160875773,74.5537839124227,-0.491075678248453,4277,12531,-8254
10,"1100106",Guajará-Mirim,RO,19185,36.6327860307532,63.3672139692468,-0.267344279384936,7028,12157,-5129
11,"1100114",Jaru,RO,27571,24.8304377788256,75.1695622211744,-0.503391244423488,6846,20725,-13879
12,"1100122",Ji-Paraná,RO,63899,25.7750512527583,74.2249487472417,-0.484498974944835,16470,47429,-30959
13,"1100130",Machadinho D'Oeste,RO,15342,30.8304002085778,69.1695997914222,-0.383391995828445,4730,10612,-5882
14,"1100148",Nova Brasilândia D'Oeste,RO,9694,28.7291107901795,71.2708892098205,-0.42541778419641,2785,6909,-4124
15,"1100155",Ouro Preto do Oeste,RO,19263,29.798058454031,70.201941545969,-0.404038830919379,5740,13523,-7783
16,"1100189",Pimenta Bueno,RO,18660,26.1897106109325,73.8102893890675,-0.476205787781351,4887,13773,-8886
17,"1100205",Porto Velho,RO,244915,37.5791601167752,62.4208398832248,-0.248416797664496,92037,152878,-60841
18,"1100254",Presidente Médici,RO,14213,42.0178709632027,57.9821290367973,-0.159642580735946,5972,8241,-2269
19,"1100262",Rio Crespo,RO,2239,26.7530147387226,73.2469852612774,-0.464939705225547,599,1640,-1041
20,"1100288",Rolim de Moura,RO,27249,27.6634004917612,72.3365995082388,-0.446731990164777,7538,19711,-12173
21,"1100296",Santa Luzia D'Oeste,RO,4451,35.4077735340373,64.5922264659627,-0.291844529319254,1576,2875,-1299
22,"1100304",Vilhena,RO,45656,23.6201156474505,76.3798843525495,-0.52759768705099,10784,34872,-24088
23,"1100320",São Miguel do Guaporé,RO,11831,33.6911503676781,66.3088496323219,-0.326176992646437,3986,7845,-3859
