fid,CD_MUN,NM_MUN,SIGLA,porcent_nulo_e_branco,13_Soma - QT_VOTOS,22_Soma - QT_VOTOS,branco_Soma - QT_VOTOS,nulo_Soma - QT_VOTOS,porcent_13,porcent_22,normal_13_22,subt_13_22
1,"1100015",Alta Floresta D'Oeste,RO,3.25604341391219,3959,9768,126,336,28.8409703504043,71.1590296495957,-0.423180592991914,-5809
2,"1100023",Ariquemes,RO,2.74889561912846,10513,39901,485,940,20.8533343912405,79.1466656087595,-0.582933312175189,-29388
3,"1100031",Cabixi,RO,3.03783485225076,1106,2405,36,74,31.5009968669895,68.4990031330105,-0.369980062660211,-1299
4,"1100049",Cacoal,RO,3.01998576567219,12437,37980,538,1032,24.6682666560882,75.3317333439118,-0.506634666878236,-25543
5,"1100056",Cerejeiras,RO,2.83288915210739,1990,7854,106,181,20.2153596099147,79.7846403900853,-0.595692807801707,-5864
6,"1100064",Colorado do Oeste,RO,3.70189490134792,2606,7253,137,242,26.4327010853028,73.5672989146972,-0.471345978293945,-4647
7,"1100072",Corumbiara,RO,3.57552143020857,1524,2683,47,109,36.225338721179,63.774661278821,-0.27549322557642,-1159
8,"1100080",Costa Marques,RO,2.55169379674439,2425,4220,39,135,36.4936042136945,63.5063957863055,-0.27012791572611,-1795
9,"1100098",Espigão do Oeste,RO,3.32790445168295,4212,13595,193,420,23.6536193631718,76.3463806368282,-0.526927612736564,-9383
10,"1100106",Guajará-Mirim,RO,2.64978654497277,6838,13001,155,385,34.4674630777761,65.5325369222239,-0.310650738444478,-6163
11,"1100114",Jaru,RO,3.38849487785658,6813,22611,336,696,23.1545676998369,76.8454323001631,-0.536908646003263,-15798
12,"1100122",Ji-Paraná,RO,2.95856302437218,16711,51415,671,1406,24.5295481901183,75.4704518098817,-0.509409036197634,-34704
13,"1100130",Machadinho D'Oeste,RO,2.42730112953617,4750,11490,131,273,29.2487684729064,70.7512315270936,-0.415024630541872,-6740
14,"1100148",Nova Brasilândia D'Oeste,RO,3.1649135987979,2854,7457,107,230,27.6791775773446,72.3208224226554,-0.446416448453108,-4603
15,"1100155",Ouro Preto do Oeste,RO,3.01324503311258,5872,14631,209,428,28.6397112617666,71.3602887382334,-0.427205774764668,-8759
16,"1100189",Pimenta Bueno,RO,3.66723259762309,4927,14932,238,518,24.809909864545,75.190090135455,-0.503801802709099,-10005
17,"1100205",Porto Velho,RO,3.64723192937282,92636,169299,3021,6894,35.3660259224617,64.6339740775383,-0.292679481550766,-76663
18,"1100254",Presidente Médici,RO,3.35564709921044,3009,8252,131,260,26.7205399165261,73.2794600834739,-0.465589201669479,-5243
19,"1100262",Rio Crespo,RO,2.49791840133222,590,1752,21,39,25.1921434671221,74.8078565328779,-0.496157130657558,-1162
20,"1100288",Rolim de Moura,RO,3.55895125216312,7669,21868,364,726,25.9640450959813,74.0359549040187,-0.480719098080374,-14199
21,"1100296",Santa Luzia D'Oeste,RO,4.1807014067763,1652,3184,56,155,34.1604631927213,65.8395368072787,-0.316790736145575,-1532
22,"1100304",Vilhena,RO,4.23653842373248,10994,37718,516,1639,22.5693874199376,77.4306125800624,-0.548612251601248,-26724
23,"1100320",São Miguel do Guaporé,RO,3.15318788065685,3998,8564,129,280,31.8261423340232,68.1738576659768,-0.363477153319535,-4566
24,"1100338",Nova Mamoré,RO,2.08908453331344,2897,10226,89,191,22.0757448754096,77.9242551245904,-0.558485102491808,-7329
25,"1100346",Alvorada do Oeste,RO,3.54717864668696,2933,5306,80,223,35.5989804587935,64.4010195412065,-0.288020390824129,-2373
26,"1100379",Alto Alegre dos Parecis,RO,4.31842631012756,1989,4237,73,208,31.9466752328943,68.0533247671057,-0.361066495342114,-2248
27,"1100403",Alto Paraíso,RO,2.42628279544927,1995,6410,80,129,23.7358715050565,76.2641284949435,-0.52528256989887,-4415
28,"1100452",Buritis,RO,2.4240545567266,3260,12479,114,277,20.7128788360125,79.2871211639875,-0.585742423279751,-9219
29,"1100502",Novo Horizonte do Oeste,RO,3.28440366972477,1849,3422,57,122,35.0787326882944,64.9212673117055,-0.298425346234111,-1573
30,"1100601",Cacaulândia,RO,3.26666666666667,692,2210,33,65,23.8456237077877,76.1543762922123,-0.523087525844245,-1518
